Término|Nº occ esp|N(d,e)|N(d,e')|N(d',e)|Et|P(e,d)|P(d,e)|ICC
(',', 'valparaíso')|1|1|1619|5|5|0.0006172839506172839|0.16666666666666666|0.16666666666666666|
('inconstitucionalidad', 'contra')|2|2|1618|0|1|0.0012345679012345679|1.0|0.5|
('del', 'control')|1|1|1619|296|41|0.0006172839506172839|0.003367003367003367|0.023809523809523808|
(None, None, 'trasplante')|1|1|1619|1231|41|0.0006172839506172839|0.0008116883116883117|0.023809523809523808|
(None, 'telecirugía')|1|1|1619|2|3|0.0006172839506172839|0.3333333333333333|0.25|
('aspectos', 'bioéticos')|1|1|1619|12|9|0.0006172839506172839|0.07692307692307693|0.1|
('médica', 'continuada', 'en')|1|1|1619|3|4|0.0006172839506172839|0.25|0.2|
('la', 'contracepción')|2|2|1618|1|2|0.0012345679012345679|0.6666666666666666|0.3333333333333333|
('reproductiva', 'en', 'norteamérica')|2|2|1618|2|2|0.0012345679012345679|0.5|0.3333333333333333|
('posparto', 'entre', 'madres')|1|1|1619|0|1|0.0006172839506172839|1.0|0.5|
('del', 'programa')|3|3|1617|748|43|0.001851851851851852|0.0039946737683089215|0.022727272727272728|
('inmigrantes', 'en', 'un')|1|1|1619|13|9|0.0006172839506172839|0.07142857142857142|0.1|
('nesbit', 'en', 'pacientes')|1|1|1619|4|5|0.0006172839506172839|0.2|0.16666666666666666|
('en', 'valladolid', '.')|1|1|1619|38|17|0.0006172839506172839|0.02564102564102564|0.05555555555555555|
('medicina', 'reproductiva')|4|4|1616|6|5|0.0024691358024691358|0.4|0.16666666666666666|
manuel|3|3|1617|144|37|0.001851851851851852|0.02040816326530612|0.02631578947368421|
('consultas', 'por', 'anticoncepción')|1|1|1619|1|2|0.0006172839506172839|0.5|0.3333333333333333|
('ginecología', '.')|1|1|1619|245|25|0.0006172839506172839|0.0040650406504065045|0.038461538461538464|
(None, 'la', 'planta')|1|1|1619|3|4|0.0006172839506172839|0.25|0.2|
('actas', 'con', 'otras')|1|1|1619|1|2|0.0006172839506172839|0.5|0.3333333333333333|
('tres', 'años')|2|2|1618|285|37|0.0012345679012345679|0.006968641114982578|0.02631578947368421|
('colombianas', '.', None)|1|1|1619|37|14|0.0006172839506172839|0.02631578947368421|0.06666666666666667|
androcheck|1|1|1619|3|4|0.0006172839506172839|0.25|0.2|
('difusion', 'de')|1|1|1619|5|5|0.0006172839506172839|0.16666666666666666|0.16666666666666666|
etinilestradiol|1|1|1619|10|7|0.0006172839506172839|0.09090909090909091|0.125|
('tejidos', ':', 'reflexiones')|1|1|1619|1|2|0.0006172839506172839|0.5|0.3333333333333333|
('de', '30')|2|2|1618|298|35|0.0012345679012345679|0.006666666666666667|0.027777777777777776|
('los', 'ultimos', 'diez')|2|2|1618|27|15|0.0012345679012345679|0.06896551724137931|0.0625|
('de', 'recuperación', 'espermática')|1|1|1619|0|1|0.0006172839506172839|1.0|0.5|
(None, 'adaptación')|1|1|1619|412|38|0.0006172839506172839|0.002421307506053269|0.02564102564102564|
('del', 'neumotórax', 'catamenial')|1|1|1619|3|4|0.0006172839506172839|0.25|0.2|
('estimular', 'la', 'ovulación')|1|1|1619|2|3|0.0006172839506172839|0.3333333333333333|0.25|
o/y|1|1|1619|3|4|0.0006172839506172839|0.25|0.2|
('costes', 'de')|1|1|1619|134|30|0.0006172839506172839|0.007407407407407408|0.03225806451612903|
('computarizado', 'de')|1|1|1619|18|12|0.0006172839506172839|0.05263157894736842|0.07692307692307693|
('web', '2.0')|1|1|1619|6|7|0.0006172839506172839|0.14285714285714285|0.125|
('emergencia', ':', 'la')|1|1|1619|0|1|0.0006172839506172839|1.0|0.5|
('salud', 'de', 'la')|1|1|1619|323|31|0.0006172839506172839|0.0030864197530864196|0.03125|
('colombia', ':', 'implicaciones')|1|1|1619|0|1|0.0006172839506172839|1.0|0.5|
(None, 'prevencion', 'de')|1|1|1619|13|11|0.0006172839506172839|0.07142857142857142|0.08333333333333333|
('genética', 'en', 'entamoeba')|1|1|1619|0|1|0.0006172839506172839|1.0|0.5|
('fisiopatología', ',')|1|1|1619|97|31|0.0006172839506172839|0.01020408163265306|0.03125|
('asistida', 'institucional')|1|1|1619|1|2|0.0006172839506172839|0.5|0.3333333333333333|
('de', 'la', 'gente')|1|1|1619|3|4|0.0006172839506172839|0.25|0.2|
(None, None, 'mitos')|1|1|1619|31|16|0.0006172839506172839|0.03125|0.058823529411764705|
('(', 'técnica')|1|1|1619|54|22|0.0006172839506172839|0.01818181818181818|0.043478260869565216|
quimiotaxis|1|1|1619|12|10|0.0006172839506172839|0.07692307692307693|0.09090909090909091|
('sobre', '``')|1|1|1619|50|25|0.0006172839506172839|0.0196078431372549|0.038461538461538464|
('consenso', 'de', 'experto')|1|1|1619|1|2|0.0006172839506172839|0.5|0.3333333333333333|
valenciana|4|4|1616|604|38|0.0024691358024691358|0.006578947368421052|0.02564102564102564|
('y', 'crítica', '.')|1|1|1619|8|6|0.0006172839506172839|0.1111111111111111|0.14285714285714285|
('nuevos', 'avances', 'en')|2|2|1618|28|18|0.0012345679012345679|0.06666666666666667|0.05263157894736842|
('ticonceptivo', 'inyectable', 'de')|1|1|1619|1|2|0.0006172839506172839|0.5|0.3333333333333333|
(')', ',', 'dirigida')|1|1|1619|3|4|0.0006172839506172839|0.25|0.2|
('escritor', '.', None)|1|1|1619|1|2|0.0006172839506172839|0.5|0.3333333333333333|
memorian|1|1|1619|5|5|0.0006172839506172839|0.16666666666666666|0.16666666666666666|
(None, 'evolución', 'del')|2|2|1618|330|38|0.0012345679012345679|0.006024096385542169|0.02564102564102564|
('poblacion', 'y', 'medio')|1|1|1619|7|3|0.0006172839506172839|0.125|0.25|
('amas', 'de', 'casa')|1|1|1619|9|6|0.0006172839506172839|0.1|0.14285714285714285|
('algunos', 'datos')|1|1|1619|46|20|0.0006172839506172839|0.02127659574468085|0.047619047619047616|
('reporte', 'médico', 'de')|1|1|1619|0|1|0.0006172839506172839|1.0|0.5|
('planeados', '.', None)|1|1|1619|5|6|0.0006172839506172839|0.16666666666666666|0.14285714285714285|
('(', '1880-1896')|1|1|1619|2|3|0.0006172839506172839|0.3333333333333333|0.25|
('la', 'maternidad', 'sobre')|1|1|1619|2|3|0.0006172839506172839|0.3333333333333333|0.25|
(None, 'dinámicas')|1|1|1619|7|6|0.0006172839506172839|0.125|0.14285714285714285|
('salud', 'reproductiva', ':')|4|4|1616|5|3|0.0024691358024691358|0.4444444444444444|0.25|
('peritaje', 'judicial', 'urológico')|1|1|1619|1|2|0.0006172839506172839|0.5|0.3333333333333333|
('influencia', 'genética', 'sobre')|1|1|1619|0|1|0.0006172839506172839|1.0|0.5|
('escorial', 'en', '1594')|1|1|1619|2|3|0.0006172839506172839|0.3333333333333333|0.25|
('billings', '.')|1|1|1619|0|1|0.0006172839506172839|1.0|0.5|
fases|1|1|1619|170|39|0.0006172839506172839|0.005847953216374269|0.025|
('para', 'la', 'reproduction')|1|1|1619|2|3|0.0006172839506172839|0.3333333333333333|0.25|
('covisa', 'del')|1|1|1619|2|3|0.0006172839506172839|0.3333333333333333|0.25|
('propósito', 'de', 'las')|1|1|1619|40|21|0.0006172839506172839|0.024390243902439025|0.045454545454545456|
('y', 'su', 'funcion')|1|1|1619|6|7|0.0006172839506172839|0.14285714285714285|0.125|
('factores', 'psicoginecológicos', 'en')|1|1|1619|3|4|0.0006172839506172839|0.25|0.2|
('y', 'profesional', '.')|1|1|1619|6|6|0.0006172839506172839|0.14285714285714285|0.14285714285714285|
('y', 'expectativas', 'de')|1|1|1619|45|19|0.0006172839506172839|0.021739130434782608|0.05|
('controversias', 'sobre', 'el')|1|1|1619|3|4|0.0006172839506172839|0.25|0.2|
('(', '1907-2005', ')')|3|3|1617|3|2|0.001851851851851852|0.5|0.3333333333333333|
('estados', 'unidos', '.')|3|3|1617|94|25|0.001851851851851852|0.030927835051546393|0.038461538461538464|
('eyaculado', '.')|2|1|1619|3|4|0.0006172839506172839|0.25|0.2|
('occidentales', '.', None)|1|1|1619|1|2|0.0006172839506172839|0.5|0.3333333333333333|
('en', 'sus', 'determinantes')|1|1|1619|1|2|0.0006172839506172839|0.5|0.3333333333333333|
('y', 'oportunidades', '.')|1|1|1619|22|15|0.0006172839506172839|0.043478260869565216|0.0625|
('materna', 'humana')|1|1|1619|1|2|0.0006172839506172839|0.5|0.3333333333333333|
('evaluación', 'de', 'la')|12|12|1608|2538|48|0.007407407407407408|0.004705882352941176|0.02040816326530612|
('10-19', 'años', '.')|1|1|1619|1|2|0.0006172839506172839|0.5|0.3333333333333333|
('sexuales', 'y', 'diferencias')|1|1|1619|1|2|0.0006172839506172839|0.5|0.3333333333333333|
('ensa', '2000', '.')|1|1|1619|1|2|0.0006172839506172839|0.5|0.3333333333333333|
('predicción', 'del', 'embarazo')|1|1|1619|3|4|0.0006172839506172839|0.25|0.2|
('paciente', 'y', 'organización')|1|1|1619|3|4|0.0006172839506172839|0.25|0.2|
('natalidad', 'dirigida')|1|1|1619|0|1|0.0006172839506172839|1.0|0.5|
('por', 'procedimiento', 'mecanizado')|1|1|1619|2|3|0.0006172839506172839|0.3333333333333333|0.25|
('la', 'anticoncepción', 'de')|6|6|1614|5|5|0.003703703703703704|0.5454545454545454|0.16666666666666666|
('apuntes', 'para', 'el')|1|1|1619|10|8|0.0006172839506172839|0.09090909090909091|0.1111111111111111|
(')', '(')|6|6|1614|250|40|0.003703703703703704|0.0234375|0.024390243902439025|
lh|4|4|1616|68|17|0.0024691358024691358|0.05555555555555555|0.05555555555555555|
(',', 'la', 'historia')|1|1|1619|11|11|0.0006172839506172839|0.08333333333333333|0.08333333333333333|
('i', ')')|10|10|1610|887|44|0.006172839506172839|0.011148272017837236|0.022222222222222223|
cavernotomo|1|1|1619|1|2|0.0006172839506172839|0.5|0.3333333333333333|
ciclofenilo|1|1|1619|2|3|0.0006172839506172839|0.3333333333333333|0.25|
('paradigmas', 'urodinamicos', '.')|1|1|1619|1|2|0.0006172839506172839|0.5|0.3333333333333333|
(':', 'demanda', 'en')|1|1|1619|0|1|0.0006172839506172839|1.0|0.5|
('iterativos', '.', None)|1|1|1619|1|2|0.0006172839506172839|0.5|0.3333333333333333|
('especial', 'referencia')|2|2|1618|321|36|0.0012345679012345679|0.006191950464396285|0.02702702702702703|
('la', 'asociación', 'nacional')|1|1|1619|4|5|0.0006172839506172839|0.2|0.16666666666666666|
('ensayos', 'clínicos')|2|2|1618|514|37|0.0012345679012345679|0.003875968992248062|0.02631578947368421|
('del', 'ultrasonido')|1|1|1619|102|25|0.0006172839506172839|0.009708737864077669|0.038461538461538464|
('adolescentes', 'de', 'la')|3|3|1617|93|21|0.001851851851851852|0.03125|0.045454545454545456|
('en', 'revistas')|1|1|1619|63|25|0.0006172839506172839|0.015625|0.038461538461538464|
('estimación', 'de', 'la')|1|1|1619|329|39|0.0006172839506172839|0.0030303030303030303|0.025|
cambio|5|5|1615|704|45|0.0030864197530864196|0.007052186177715092|0.021739130434782608|
('utilizados', 'en')|1|1|1619|129|35|0.0006172839506172839|0.007692307692307693|0.027777777777777776|
('de', 'una', 'intervención')|1|1|1619|442|41|0.0006172839506172839|0.002257336343115124|0.023809523809523808|
('tratamientos', 'médicos', 'a')|1|1|1619|2|3|0.0006172839506172839|0.3333333333333333|0.25|
('estudio', 'de', 'los')|1|1|1619|764|40|0.0006172839506172839|0.00130718954248366|0.024390243902439025|
('fundamentos', 'del', 'láser')|1|1|1619|2|3|0.0006172839506172839|0.3333333333333333|0.25|
376/89|1|1|1619|2|3|0.0006172839506172839|0.3333333333333333|0.25|
postnatal|2|2|1618|70|18|0.0012345679012345679|0.027777777777777776|0.05263157894736842|
('españoles', 'de')|6|6|1614|94|23|0.003703703703703704|0.06|0.041666666666666664|
guiado|1|1|1619|81|23|0.0006172839506172839|0.012195121951219513|0.041666666666666664|
('poscoital', 'con', 'levonorgestrel')|1|1|1619|2|3|0.0006172839506172839|0.3333333333333333|0.25|
('peservativo', '.')|1|1|1619|1|2|0.0006172839506172839|0.5|0.3333333333333333|
('ontológico', 'del', 'embrión')|1|1|1619|0|1|0.0006172839506172839|1.0|0.5|
('critica', 'de', 'anticonceptivos')|1|1|1619|0|1|0.0006172839506172839|1.0|0.5|
('pronóstico', 'en', 'investigación')|1|1|1619|3|4|0.0006172839506172839|0.25|0.2|
('darwin', '?', None)|1|1|1619|0|1|0.0006172839506172839|1.0|0.5|
urolitiasis|2|2|1618|139|17|0.0012345679012345679|0.014184397163120567|0.05555555555555555|
(None, 'consideraciones', 'acerca')|1|1|1619|184|32|0.0006172839506172839|0.005405405405405406|0.030303030303030304|
('médico-veterinaria', 'presentes')|1|1|1619|1|2|0.0006172839506172839|0.5|0.3333333333333333|
('singular', 'litotomista', 'y')|1|1|1619|2|3|0.0006172839506172839|0.3333333333333333|0.25|
(None, 'derechos', 'humanos')|2|2|1618|15|10|0.0012345679012345679|0.11764705882352941|0.09090909090909091|
parejas|4|4|1616|162|22|0.0024691358024691358|0.024096385542168676|0.043478260869565216|
('lineamientos', 'para', 'una')|1|1|1619|1|2|0.0006172839506172839|0.5|0.3333333333333333|
(None, 'impacto', 'social')|1|1|1619|17|9|0.0006172839506172839|0.05555555555555555|0.1|
('20', 'años')|1|1|1619|315|38|0.0006172839506172839|0.0031645569620253164|0.02564102564102564|
('de', 'las', 'concentraciones')|3|3|1617|110|30|0.001851851851851852|0.02654867256637168|0.03225806451612903|
('de', 'factores', 'de')|1|1|1619|624|37|0.0006172839506172839|0.0016|0.02631578947368421|
etiológico|1|1|1619|383|35|0.0006172839506172839|0.0026041666666666665|0.027777777777777776|
('de', 'alto', 'flujo')|1|1|1619|28|13|0.0006172839506172839|0.034482758620689655|0.07142857142857142|
('fecundidad', 'en', 'peru')|1|1|1619|1|2|0.0006172839506172839|0.5|0.3333333333333333|
('y', 'objeción')|1|1|1619|9|6|0.0006172839506172839|0.1|0.14285714285714285|
(',', 'sociales', 'y')|1|1|1619|14|9|0.0006172839506172839|0.06666666666666667|0.1|
esperma|3|3|1617|4|3|0.001851851851851852|0.42857142857142855|0.25|
('esterilizadas', 'en', 'santiago')|1|1|1619|4|5|0.0006172839506172839|0.2|0.16666666666666666|
('de', 'prostitutas', '.')|1|1|1619|6|6|0.0006172839506172839|0.14285714285714285|0.14285714285714285|
('y', 'mesa')|1|1|1619|3|4|0.0006172839506172839|0.25|0.2|
('mayor', 'ambulatoria', 'en')|1|1|1619|40|13|0.0006172839506172839|0.024390243902439025|0.07142857142857142|
('paraguaná', ',')|1|1|1619|4|5|0.0006172839506172839|0.2|0.16666666666666666|
('spanish', 'journal')|1|1|1619|1|2|0.0006172839506172839|0.5|0.3333333333333333|
('en', 'la', 'esterilidad')|1|1|1619|46|11|0.0006172839506172839|0.02127659574468085|0.08333333333333333|
('riesgo', '.', None)|1|1|1619|1277|42|0.0006172839506172839|0.000782472613458529|0.023255813953488372|
('la', 'urología', 'y')|1|1|1619|2|3|0.0006172839506172839|0.3333333333333333|0.25|
(None, 'las', 'nuevas')|2|2|1618|36|20|0.0012345679012345679|0.05263157894736842|0.047619047619047616|
('y', 'estimación', 'de')|1|1|1619|35|18|0.0006172839506172839|0.027777777777777776|0.05263157894736842|
('con', 'infertilidad')|1|1|1619|25|12|0.0006172839506172839|0.038461538461538464|0.07692307692307693|
(None, 'los', 'somovilla')|1|1|1619|1|2|0.0006172839506172839|0.5|0.3333333333333333|
disminuir|1|1|1619|192|37|0.0006172839506172839|0.0051813471502590676|0.02631578947368421|
('el', 'area')|3|3|1617|304|34|0.001851851851851852|0.009771986970684038|0.02857142857142857|
('las', 'gestantes', 'y')|1|1|1619|2|3|0.0006172839506172839|0.3333333333333333|0.25|
sintéticos|1|1|1619|32|17|0.0006172839506172839|0.030303030303030304|0.05555555555555555|
('de', 'intervención', 'en')|1|1|1619|65|16|0.0006172839506172839|0.015151515151515152|0.058823529411764705|
('eugenesia', 'médica')|1|1|1619|1|2|0.0006172839506172839|0.5|0.3333333333333333|
('la', 'pildora', 'y')|2|2|1618|5|5|0.0012345679012345679|0.2857142857142857|0.16666666666666666|
('capacitación', 'y')|1|1|1619|1|2|0.0006172839506172839|0.5|0.3333333333333333|
il-6|1|1|1619|22|17|0.0006172839506172839|0.043478260869565216|0.05555555555555555|
('de', 'cervantes')|1|1|1619|11|11|0.0006172839506172839|0.08333333333333333|0.08333333333333333|
('hydrochaeris', ')')|1|1|1619|2|3|0.0006172839506172839|0.3333333333333333|0.25|
(None, 'representaciones')|1|1|1619|37|18|0.0006172839506172839|0.02631578947368421|0.05263157894736842|
('uso', 'del', 'preservativo')|1|1|1619|6|5|0.0006172839506172839|0.14285714285714285|0.16666666666666666|
('real', 'decreto', '120/2003')|2|2|1618|1|2|0.0012345679012345679|0.6666666666666666|0.3333333333333333|
('tungurahua', 'y', 'manabi')|1|1|1619|1|2|0.0006172839506172839|0.5|0.3333333333333333|
('sanitaria', 'en')|1|1|1619|250|26|0.0006172839506172839|0.00398406374501992|0.037037037037037035|
('la', 'administración')|8|8|1612|655|42|0.0049382716049382715|0.012066365007541479|0.023255813953488372|
('satisfacción', 'en')|1|1|1619|55|18|0.0006172839506172839|0.017857142857142856|0.05263157894736842|
fotodinámico|1|1|1619|17|7|0.0006172839506172839|0.05555555555555555|0.125|
('durante', 'la', 'captura')|1|1|1619|4|5|0.0006172839506172839|0.2|0.16666666666666666|
('trasplantes', '(')|1|1|1619|3|4|0.0006172839506172839|0.25|0.2|
('en', 'nuestro', 'medio')|2|2|1618|463|38|0.0012345679012345679|0.004301075268817204|0.02564102564102564|
('acrosómica', 'se', 'asocian')|1|1|1619|0|1|0.0006172839506172839|1.0|0.5|
('pregnandiol', 'urinario')|3|3|1617|9|6|0.001851851851851852|0.25|0.14285714285714285|
('estudio', 'comparativo')|5|5|1615|3121|48|0.0030864197530864196|0.001599488163787588|0.02040816326530612|
('candidiasis', 'vaginal')|1|1|1619|40|14|0.0006172839506172839|0.024390243902439025|0.06666666666666667|
(':', 'contenido')|1|1|1619|6|7|0.0006172839506172839|0.14285714285714285|0.125|
('de', 'la', 'eyaculación')|2|2|1618|12|7|0.0012345679012345679|0.14285714285714285|0.125|
('otros', 'datos')|1|1|1619|15|12|0.0006172839506172839|0.0625|0.07692307692307693|
('urology', 'para')|1|1|1619|1|2|0.0006172839506172839|0.5|0.3333333333333333|
gametos|7|7|1613|5|5|0.004320987654320987|0.5833333333333334|0.16666666666666666|
('en', 'el', 'conocimiento')|2|2|1618|69|26|0.0012345679012345679|0.028169014084507043|0.037037037037037035|
momento|2|2|1618|314|41|0.0012345679012345679|0.006329113924050633|0.023809523809523808|
('perspectivas', 'biomédicas', 'de')|1|1|1619|2|3|0.0006172839506172839|0.3333333333333333|0.25|
('1979-1983', '.')|1|1|1619|4|3|0.0006172839506172839|0.2|0.25|
(None, None, 'complicaciones')|3|3|1617|2241|44|0.001851851851851852|0.001336898395721925|0.022222222222222223|
('mexicana', '.', None)|2|2|1618|537|40|0.0012345679012345679|0.0037105751391465678|0.024390243902439025|
('generalidades', ',', 'riñón')|1|1|1619|2|3|0.0006172839506172839|0.3333333333333333|0.25|
('los', 'años', 'sesenta')|1|1|1619|5|6|0.0006172839506172839|0.16666666666666666|0.14285714285714285|
lumbalgias|1|1|1619|20|10|0.0006172839506172839|0.047619047619047616|0.09090909090909091|
('talla', 'a')|1|1|1619|4|5|0.0006172839506172839|0.2|0.16666666666666666|
('de', 'grupos')|1|1|1619|78|26|0.0006172839506172839|0.012658227848101266|0.037037037037037035|
('subcutáneo', 'de')|1|1|1619|12|11|0.0006172839506172839|0.07692307692307693|0.08333333333333333|
('síndrome', 'metabólico')|2|2|1618|954|31|0.0012345679012345679|0.0020920502092050207|0.03125|
('prolongada', 'mediante', 'la')|1|1|1619|1|2|0.0006172839506172839|0.5|0.3333333333333333|
(None, None, 'diferencia')|2|2|1618|46|18|0.0012345679012345679|0.041666666666666664|0.05263157894736842|
('con', 'embarazos', 'múltiples')|1|1|1619|1|2|0.0006172839506172839|0.5|0.3333333333333333|
tigre|1|1|1619|8|8|0.0006172839506172839|0.1111111111111111|0.1111111111111111|
('aborto', 'en', 'la')|1|1|1619|15|9|0.0006172839506172839|0.0625|0.1|
('a', '24')|1|1|1619|34|11|0.0006172839506172839|0.02857142857142857|0.08333333333333333|
('falla', 'previa')|2|2|1618|2|2|0.0012345679012345679|0.5|0.3333333333333333|
('lútea', 'en', 'ciclos')|1|1|1619|1|2|0.0006172839506172839|0.5|0.3333333333333333|
('prevención', 'de', 'consumo')|1|1|1619|3|4|0.0006172839506172839|0.25|0.2|
('del', 'dolor')|1|1|1619|1000|44|0.0006172839506172839|0.000999000999000999|0.022222222222222223|
('asistida', ':')|11|11|1609|4|4|0.006790123456790123|0.7333333333333333|0.2|
('estampa', 'y', 'la')|1|1|1619|2|3|0.0006172839506172839|0.3333333333333333|0.25|
('uro-oncología', '``', 'oncoforum')|1|1|1619|3|4|0.0006172839506172839|0.25|0.2|
('próstata', '?')|1|1|1619|50|10|0.0006172839506172839|0.0196078431372549|0.09090909090909091|
('terapéutica', 'entre')|1|1|1619|7|8|0.0006172839506172839|0.125|0.1111111111111111|
('con', 'finalidad')|1|1|1619|4|5|0.0006172839506172839|0.2|0.16666666666666666|
('familiares', ',', 'conygales')|1|1|1619|0|1|0.0006172839506172839|1.0|0.5|
(None, None, 'cateterización')|1|1|1619|33|17|0.0006172839506172839|0.029411764705882353|0.05555555555555555|
('florida', '(')|1|1|1619|3|3|0.0006172839506172839|0.25|0.25|
asistencia|2|2|1618|1348|45|0.0012345679012345679|0.0014814814814814814|0.021739130434782608|
('artificial', '.', None)|8|8|1612|75|24|0.0049382716049382715|0.0963855421686747|0.04|
('el', 'infanticidio')|1|1|1619|0|1|0.0006172839506172839|1.0|0.5|
('cepas', 'heterotálicas')|1|1|1619|0|1|0.0006172839506172839|1.0|0.5|
('con', 'impotencia', '.')|1|1|1619|4|5|0.0006172839506172839|0.2|0.16666666666666666|
('la', 'nueva', 'ley')|2|2|1618|16|11|0.0012345679012345679|0.1111111111111111|0.08333333333333333|
('su', 'repercusión')|2|2|1618|226|35|0.0012345679012345679|0.008771929824561403|0.027777777777777776|
('recommendaciones', 'de', 'gesida-seimc')|1|1|1619|11|12|0.0006172839506172839|0.08333333333333333|0.07692307692307693|
(None, 'aspectos', 'sociales')|2|2|1618|18|12|0.0012345679012345679|0.1|0.07692307692307693|
('decisiones', 'en', 'niños')|1|1|1619|4|5|0.0006172839506172839|0.2|0.16666666666666666|
('opciones', 'de', 'tratamiento')|1|1|1619|48|18|0.0006172839506172839|0.02040816326530612|0.05263157894736842|
('discurso', 'del', 'profesor')|1|1|1619|1|2|0.0006172839506172839|0.5|0.3333333333333333|
('gineco-obstetricia', '.')|2|2|1618|95|20|0.0012345679012345679|0.020618556701030927|0.047619047619047616|
('con', 'fsh', 'recombinante')|1|1|1619|1|2|0.0006172839506172839|0.5|0.3333333333333333|
('entrega', 'de', 'premios')|1|1|1619|1|2|0.0006172839506172839|0.5|0.3333333333333333|
('urológica', 'de', 'von')|1|1|1619|1|2|0.0006172839506172839|0.5|0.3333333333333333|
('de', 'diferentes', 'métodos')|1|1|1619|11|8|0.0006172839506172839|0.08333333333333333|0.1111111111111111|
('ético', 'y', 'moral')|1|1|1619|1|2|0.0006172839506172839|0.5|0.3333333333333333|
('una', 'o')|1|1|1619|38|17|0.0006172839506172839|0.02564102564102564|0.05555555555555555|
(',', 'teste')|1|1|1619|2|3|0.0006172839506172839|0.3333333333333333|0.25|
(None, None, 'otro')|1|1|1619|23|15|0.0006172839506172839|0.041666666666666664|0.0625|
('ley', 'sobre', 'anticoncepción')|1|1|1619|0|1|0.0006172839506172839|1.0|0.5|
(None, None, 'antonio')|2|2|1618|14|13|0.0012345679012345679|0.125|0.07142857142857142|
(':', 'un', 'estudio')|6|6|1614|865|47|0.003703703703703704|0.006888633754305396|0.020833333333333332|
('hemorragias', 'en')|1|1|1619|43|18|0.0006172839506172839|0.022727272727272728|0.05263157894736842|
('ascenso', '.')|1|1|1619|5|4|0.0006172839506172839|0.16666666666666666|0.2|
('agotamiento', '”', ':')|1|1|1619|3|4|0.0006172839506172839|0.25|0.2|
('las', 'lesiones')|3|3|1617|1139|46|0.001851851851851852|0.002626970227670753|0.02127659574468085|
ssts|1|1|1619|0|1|0.0006172839506172839|1.0|0.5|
(None, 'semblanza', 'biográfica')|1|1|1619|1|2|0.0006172839506172839|0.5|0.3333333333333333|
('comentario', 'biólogico', 'y')|1|1|1619|0|1|0.0006172839506172839|1.0|0.5|
