Término|Nº occ esp|N(d,e)|N(d,e')|N(d',e)|Et|P(e,d)|P(d,e)|ICC
('¿', 'tiene', 'alguna')|1|1|292|6|7|0.0034129692832764505|0.14285714285714285|0.125|
('gestión', 'y', 'resultados')|1|1|292|4|5|0.0034129692832764505|0.2|0.16666666666666666|
('la', 'responsabilidad', 'profesional')|1|1|292|10|6|0.0034129692832764505|0.09090909090909091|0.14285714285714285|
('multidetector', 'urgente', 'de')|1|1|292|1|2|0.0034129692832764505|0.5|0.3333333333333333|
('dosis', 'única', 'preoperatoria')|2|2|291|6|4|0.006825938566552901|0.25|0.2|
('enfermedad', 'hemorroidal', 'en')|1|1|292|10|9|0.0034129692832764505|0.09090909090909091|0.1|
('abordaje', 'laparoscópico', '?')|1|1|292|6|7|0.0034129692832764505|0.14285714285714285|0.125|
(None, 'estudio', 'prospectivo')|3|3|290|1196|45|0.010238907849829351|0.0025020850708924102|0.021739130434782608|
('nos', 'depararán', 'los')|1|1|292|1|2|0.0034129692832764505|0.5|0.3333333333333333|
('senpe', '.', None)|1|1|292|1|2|0.0034129692832764505|0.5|0.3333333333333333|
('obstetricia', 'y', 'ginecología')|2|2|291|91|14|0.006825938566552901|0.021505376344086023|0.06666666666666667|
('instituto', 'oncológico')|1|1|292|17|11|0.0034129692832764505|0.05555555555555555|0.08333333333333333|
('la', 'cirugía', 'como')|1|1|292|7|5|0.0034129692832764505|0.125|0.16666666666666666|
('investigación', 'clínica', 'en')|1|1|292|88|25|0.0034129692832764505|0.011235955056179775|0.038461538461538464|
(None, 'nota', 'editorial')|1|1|292|1|2|0.0034129692832764505|0.5|0.3333333333333333|
('cirugía', 'colorrectal', '.')|21|21|272|54|9|0.07167235494880546|0.28|0.1|
('anal', 'mediante')|1|1|292|6|5|0.0034129692832764505|0.14285714285714285|0.16666666666666666|
('la', 'perforación', 'iatrogénica')|1|1|292|5|6|0.0034129692832764505|0.16666666666666666|0.14285714285714285|
(')', 'abscesos', ';')|1|1|292|1|2|0.0034129692832764505|0.5|0.3333333333333333|
('prescripción', 'electrónica', 'asistida')|1|1|292|11|7|0.0034129692832764505|0.08333333333333333|0.125|
('anal', ':')|2|2|291|23|9|0.006825938566552901|0.08|0.1|
('jean', 'faget')|1|1|292|2|3|0.0034129692832764505|0.3333333333333333|0.25|
('evaluación', 'de', 'la')|2|2|291|2548|48|0.006825938566552901|0.000784313725490196|0.02040816326530612|
('especialidad', 'en', 'españa')|1|1|292|4|5|0.0034129692832764505|0.2|0.16666666666666666|
('sosten', 'de', 'protesis')|1|1|292|2|3|0.0034129692832764505|0.3333333333333333|0.25|
(None, 'conexiones')|1|1|292|7|8|0.0034129692832764505|0.125|0.1111111111111111|
tumores|4|3|290|6541|44|0.010238907849829351|0.0004584352078239609|0.022222222222222223|
('guiada', 'por', 'objetivos')|2|2|291|12|7|0.006825938566552901|0.14285714285714285|0.125|
('clínica', 'en', 'médicos')|1|1|292|18|9|0.0034129692832764505|0.05263157894736842|0.1|
(None, None, 'v')|2|2|291|195|36|0.006825938566552901|0.01015228426395939|0.02702702702702703|
('experiencia', 'y', 'consideraciones')|1|1|292|16|10|0.0034129692832764505|0.058823529411764705|0.09090909090909091|
('ex', 'presidente', 'de')|1|1|292|1|2|0.0034129692832764505|0.5|0.3333333333333333|
('en', 'pacientes', 'de')|2|2|291|835|45|0.006825938566552901|0.0023894862604540022|0.021739130434782608|
científica|2|2|291|520|46|0.006825938566552901|0.0038314176245210726|0.02127659574468085|
('la', 'prótesis', 'en')|1|1|292|4|5|0.0034129692832764505|0.2|0.16666666666666666|
('traumático', '.', None)|1|1|292|74|23|0.0034129692832764505|0.013333333333333334|0.041666666666666664|
('carcinoma', 'colorrectal', '.')|1|1|292|109|11|0.0034129692832764505|0.00909090909090909|0.08333333333333333|
('de', 'coloproctología', 'y')|1|1|292|3|3|0.0034129692832764505|0.25|0.25|
('por', 'neoplasias', 'de')|1|1|292|14|9|0.0034129692832764505|0.06666666666666667|0.1|
('características', 'del')|1|1|292|309|37|0.0034129692832764505|0.0032258064516129032|0.02631578947368421|
estomatognático|1|1|292|9|8|0.0034129692832764505|0.1|0.1111111111111111|
('einem', 'kontaktlaxativum')|1|1|292|3|4|0.0034129692832764505|0.25|0.2|
('de', 'los', 'artículos')|1|1|292|49|16|0.0034129692832764505|0.02|0.058823529411764705|
('los', 'servicios', 'quirúrgicos')|1|1|292|12|8|0.0034129692832764505|0.07692307692307693|0.1111111111111111|
('pediatrico', 'en')|1|1|292|1|2|0.0034129692832764505|0.5|0.3333333333333333|
('fisiopatológicos', '.', None)|1|1|292|46|20|0.0034129692832764505|0.02127659574468085|0.047619047619047616|
('modelo', 'de')|1|1|292|720|44|0.0034129692832764505|0.0013869625520110957|0.022222222222222223|
('vía', 'oral')|2|2|291|137|30|0.006825938566552901|0.014388489208633094|0.03225806451612903|
('agua', 'fría', 'o')|1|1|292|4|5|0.0034129692832764505|0.2|0.16666666666666666|
('vernet', ',', 'nuevo')|1|1|292|2|3|0.0034129692832764505|0.3333333333333333|0.25|
('agudas', 'de')|1|1|292|98|25|0.0034129692832764505|0.010101010101010102|0.038461538461538464|
('las', 'deformidades')|1|1|292|45|20|0.0034129692832764505|0.021739130434782608|0.047619047619047616|
('co-mórbidos', 'y')|1|1|292|13|9|0.0034129692832764505|0.07142857142857142|0.1|
cambio|1|1|292|708|45|0.0034129692832764505|0.0014104372355430183|0.021739130434782608|
('del', 'cepillo')|1|1|292|9|7|0.0034129692832764505|0.1|0.125|
('especialidades', 'oncológicas')|1|1|292|3|3|0.0034129692832764505|0.25|0.25|
('vi', '.', None)|2|2|291|157|36|0.006825938566552901|0.012578616352201259|0.02702702702702703|
('vi', '.')|2|2|291|157|36|0.006825938566552901|0.012578616352201259|0.02702702702702703|
('de', 'oaxaca')|1|1|292|65|23|0.0034129692832764505|0.015151515151515152|0.041666666666666664|
('de', 'experiencia')|1|1|292|1015|45|0.0034129692832764505|0.000984251968503937|0.021739130434782608|
crítica|1|1|292|585|44|0.0034129692832764505|0.0017064846416382253|0.022222222222222223|
('anastomóticas', 'benignas', 'en')|1|1|292|4|5|0.0034129692832764505|0.2|0.16666666666666666|
orientación|1|1|292|258|40|0.0034129692832764505|0.003861003861003861|0.024390243902439025|
('tránsito', 'intestinal')|1|1|292|12|8|0.0034129692832764505|0.07692307692307693|0.1111111111111111|
('en', 'cirugía', 'compleja')|1|1|292|2|2|0.0034129692832764505|0.3333333333333333|0.3333333333333333|
('en', 'la', 'operación')|1|1|292|106|22|0.0034129692832764505|0.009345794392523364|0.043478260869565216|
neoadyuvante|1|1|292|221|20|0.0034129692832764505|0.0045045045045045045|0.047619047619047616|
('programa', 'eras')|1|1|292|6|7|0.0034129692832764505|0.14285714285714285|0.125|
('anemia', 'preoperatoria', 'en')|1|1|292|22|10|0.0034129692832764505|0.043478260869565216|0.09090909090909091|
('con', 'prioridad')|1|1|292|1|2|0.0034129692832764505|0.5|0.3333333333333333|
('en', 'una', 'unidad')|5|5|288|1572|46|0.017064846416382253|0.0031705770450221942|0.02127659574468085|
('padre', 'de', 'la')|1|1|292|5|6|0.0034129692832764505|0.16666666666666666|0.14285714285714285|
('limpieza', 'del')|1|1|292|11|6|0.0034129692832764505|0.08333333333333333|0.14285714285714285|
('mínima', 'invasión')|1|1|292|55|16|0.0034129692832764505|0.017857142857142856|0.058823529411764705|
('colorrectal', '.')|32|32|261|916|26|0.10921501706484642|0.03375527426160337|0.037037037037037035|
indices|1|1|292|190|29|0.0034129692832764505|0.005235602094240838|0.03333333333333333|
('de', 'enfermedad', 'ginecológica')|1|1|292|6|7|0.0034129692832764505|0.14285714285714285|0.125|
('v', '.')|2|2|291|192|37|0.006825938566552901|0.010309278350515464|0.02631578947368421|
('accidental', 'en')|1|1|292|12|10|0.0034129692832764505|0.07692307692307693|0.09090909090909091|
(';', 'las')|1|1|292|24|16|0.0034129692832764505|0.04|0.058823529411764705|
('cirugía', 'de', 'más')|1|1|292|5|6|0.0034129692832764505|0.16666666666666666|0.14285714285714285|
('de', 'protocolizar', 'la')|1|1|292|1|2|0.0034129692832764505|0.5|0.3333333333333333|
('protocolo', 'de', 'rehabilitación')|2|2|291|7|8|0.006825938566552901|0.2222222222222222|0.1111111111111111|
('cirugía', 'ortognática', 'pediátrica')|1|1|292|2|3|0.0034129692832764505|0.3333333333333333|0.25|
surveillance|1|1|292|6|5|0.0034129692832764505|0.14285714285714285|0.16666666666666666|
('próximos', 'años')|1|1|292|12|13|0.0034129692832764505|0.07692307692307693|0.07142857142857142|
concentración|1|1|292|539|44|0.0034129692832764505|0.001851851851851852|0.022222222222222223|
('sarcomas', 'de')|1|1|292|83|15|0.0034129692832764505|0.011904761904761904|0.0625|
('para', 'el', 'cirujano')|1|1|292|33|18|0.0034129692832764505|0.029411764705882353|0.05263157894736842|
('deformidades', 'y')|1|1|292|4|5|0.0034129692832764505|0.2|0.16666666666666666|
('asociados', 'a')|1|1|292|1847|47|0.0034129692832764505|0.0005411255411255411|0.020833333333333332|
(None, 'cirugía', 'monopuerto')|1|1|292|5|6|0.0034129692832764505|0.16666666666666666|0.14285714285714285|
voltas|1|1|292|0|1|0.0034129692832764505|1.0|0.5|
('reticular', '.')|1|1|292|1|2|0.0034129692832764505|0.5|0.3333333333333333|
('electivo', 'de')|1|1|292|20|7|0.0034129692832764505|0.047619047619047616|0.125|
('de', 'méxico', '.')|1|1|292|1563|49|0.0034129692832764505|0.0006393861892583121|0.02|
('de', 'pacientes')|3|3|290|5641|50|0.010238907849829351|0.0005315379163713678|0.0196078431372549|
disminuir|1|1|292|192|37|0.0034129692832764505|0.0051813471502590676|0.02631578947368421|
('oncología', 'quirúrgica', '.')|1|1|292|2|3|0.0034129692832764505|0.3333333333333333|0.25|
('incontinencia', 'fecal')|8|8|285|116|20|0.027303754266211604|0.06451612903225806|0.047619047619047616|
('artículos', 'publicados')|1|1|292|24|18|0.0034129692832764505|0.04|0.05263157894736842|
('cirugía', 'maxilofacial')|1|1|292|36|12|0.0034129692832764505|0.02702702702702703|0.07692307692307693|
('predictor', 'de')|1|1|292|314|38|0.0034129692832764505|0.0031746031746031746|0.02564102564102564|
y|91|82|211|152295|51|0.27986348122866894|0.0005381389579792226|0.019230769230769232|
(None, 'estudio')|16|15|278|25327|51|0.051194539249146756|0.0005919027701049641|0.019230769230769232|
('medio', 'plazo')|1|1|292|282|29|0.0034129692832764505|0.0035335689045936395|0.03333333333333333|
('fast-track', ')', 'en')|1|1|292|3|4|0.0034129692832764505|0.25|0.2|
laboral|1|1|292|946|43|0.0034129692832764505|0.0010559662090813093|0.022727272727272728|
('el', 'segundo')|1|1|292|71|26|0.0034129692832764505|0.013888888888888888|0.037037037037037035|
('historia', '.', None)|1|1|292|51|25|0.0034129692832764505|0.019230769230769232|0.038461538461538464|
('preoperatoria', 'o')|1|1|292|23|9|0.0034129692832764505|0.041666666666666664|0.1|
('delgado', 'entre')|1|1|292|2|3|0.0034129692832764505|0.3333333333333333|0.25|
('el', 'sistema', 'estomatognático')|1|1|292|2|3|0.0034129692832764505|0.3333333333333333|0.25|
ernest|1|1|292|4|5|0.0034129692832764505|0.2|0.16666666666666666|
('manual', 'versus', 'anastomosis')|1|1|292|4|5|0.0034129692832764505|0.2|0.16666666666666666|
('en', 'proctología', '.')|3|3|290|18|6|0.010238907849829351|0.14285714285714285|0.14285714285714285|
patología|3|3|290|4752|51|0.010238907849829351|0.0006309148264984228|0.019230769230769232|
('del', 'miembro')|1|1|292|108|23|0.0034129692832764505|0.009174311926605505|0.041666666666666664|
('en', 'nuestro', 'medio')|1|1|292|464|38|0.0034129692832764505|0.002150537634408602|0.02564102564102564|
colitis|2|2|291|797|34|0.006825938566552901|0.0025031289111389237|0.02857142857142857|
(':', 'perceptiones', 'y')|1|1|292|2|3|0.0034129692832764505|0.3333333333333333|0.25|
('estudio', 'comparativo')|4|4|289|3122|48|0.013651877133105802|0.0012795905310300703|0.02040816326530612|
('oftalmología', 'en', 'colombia')|1|1|292|1|2|0.0034129692832764505|0.5|0.3333333333333333|
('una', 'verdadera', 'especialidad')|1|1|292|1|2|0.0034129692832764505|0.5|0.3333333333333333|
('la', 'evolución', 'de')|1|1|292|428|43|0.0034129692832764505|0.002331002331002331|0.022727272727272728|
('ventral', 'en')|1|1|292|7|7|0.0034129692832764505|0.125|0.125|
('transanal', 'en', 'pacientes')|1|1|292|1|2|0.0034129692832764505|0.5|0.3333333333333333|
(None, 'interposición')|1|1|292|18|7|0.0034129692832764505|0.05263157894736842|0.125|
(',', 'linfático', 'y')|2|2|291|1|2|0.006825938566552901|0.6666666666666666|0.3333333333333333|
('y', 'la', 'sección')|1|1|292|1|2|0.0034129692832764505|0.5|0.3333333333333333|
('desde', 'su', 'inicio')|1|1|292|3|4|0.0034129692832764505|0.25|0.2|
('del', 'electrocauterio', 'en')|1|1|292|3|4|0.0034129692832764505|0.25|0.2|
('en', 'méxico')|4|4|289|3261|47|0.013651877133105802|0.001225114854517611|0.020833333333333332|
(None, 'experiencia', 'con')|1|1|292|437|40|0.0034129692832764505|0.00228310502283105|0.024390243902439025|
('electiva', 'colorrectal')|2|2|291|9|6|0.006825938566552901|0.18181818181818182|0.14285714285714285|
('perforación', 'iatrogénica')|1|1|292|6|6|0.0034129692832764505|0.14285714285714285|0.14285714285714285|
('y', 'la', 'gentamicina')|1|1|292|3|4|0.0034129692832764505|0.25|0.2|
('enfermedad', 'diverticular', 'de')|1|1|292|9|6|0.0034129692832764505|0.1|0.14285714285714285|
(None, None, 'agujas')|1|1|292|4|4|0.0034129692832764505|0.2|0.2|
social|2|2|291|1845|42|0.006825938566552901|0.0010828370330265296|0.023255813953488372|
('polipectomía', 'transanal')|1|1|292|6|7|0.0034129692832764505|0.14285714285714285|0.125|
(',', 'metaanálisis', 'y')|1|1|292|9|6|0.0034129692832764505|0.1|0.14285714285714285|
('b', ')', 'pectenosis')|1|1|292|1|2|0.0034129692832764505|0.5|0.3333333333333333|
('la', 'colitis')|1|1|292|313|22|0.0034129692832764505|0.0031847133757961785|0.043478260869565216|
('estenosis', 'inflammatorias', 'del')|1|1|292|1|2|0.0034129692832764505|0.5|0.3333333333333333|
('han', 'mejorado', 'la')|1|1|292|4|5|0.0034129692832764505|0.2|0.16666666666666666|
('vertical', 'en', 'cirugía')|1|1|292|3|4|0.0034129692832764505|0.25|0.2|
('mexicanas', 'con', 'cáncer')|1|1|292|28|8|0.0034129692832764505|0.034482758620689655|0.1111111111111111|
('largo', 'plazo', 'con')|1|1|292|63|23|0.0034129692832764505|0.015625|0.041666666666666664|
oncología|4|4|289|522|36|0.013651877133105802|0.0076045627376425855|0.02702702702702703|
('en', 'bogotá', ',')|1|1|292|105|24|0.0034129692832764505|0.009433962264150943|0.04|
('subsecuente', 'a')|1|1|292|7|7|0.0034129692832764505|0.125|0.125|
('a', ')', 'prurito')|1|1|292|3|4|0.0034129692832764505|0.25|0.2|
('urinario', 'en')|1|1|292|212|26|0.0034129692832764505|0.004694835680751174|0.037037037037037035|
(')', '.')|9|9|284|14473|51|0.030716723549488054|0.0006214611241541223|0.019230769230769232|
('latinoamérica', '.', None)|1|1|292|163|32|0.0034129692832764505|0.006097560975609756|0.030303030303030304|
(None, 'historia', 'de')|2|2|291|195|37|0.006825938566552901|0.01015228426395939|0.02631578947368421|
cómo|1|1|292|1079|47|0.0034129692832764505|0.000925925925925926|0.020833333333333332|
('colorrectal', 'laparoscópica', ':')|1|1|292|5|6|0.0034129692832764505|0.16666666666666666|0.14285714285714285|
('el', 'modelo')|2|2|291|185|33|0.006825938566552901|0.0106951871657754|0.029411764705882353|
('de', 'artículos', 'de')|1|1|292|12|10|0.0034129692832764505|0.07692307692307693|0.09090909090909091|
('enseñanza', 'de')|2|2|291|355|40|0.006825938566552901|0.0056022408963585435|0.024390243902439025|
('de', 'distinto', 'origen')|1|1|292|6|7|0.0034129692832764505|0.14285714285714285|0.125|
('preliminares', '.', None)|1|1|292|377|44|0.0034129692832764505|0.0026455026455026454|0.022222222222222223|
('resultados', 'de', 'los')|1|1|292|102|29|0.0034129692832764505|0.009708737864077669|0.03333333333333333|
('colonoscopia', 'y', 'resultados')|1|1|292|5|6|0.0034129692832764505|0.16666666666666666|0.14285714285714285|
('10', 'años')|2|2|291|864|44|0.006825938566552901|0.0023094688221709007|0.022222222222222223|
('en', 'cirugía', 'durante')|1|1|292|0|1|0.0034129692832764505|1.0|0.5|
('estancia', 'hospitalaria', 'prolongada')|1|1|292|19|13|0.0034129692832764505|0.05|0.07142857142857142|
('de', 'un', 'nuevo')|1|1|292|537|41|0.0034129692832764505|0.0018587360594795538|0.023809523809523808|
('aprendidas', 'de', 'la')|1|1|292|6|6|0.0034129692832764505|0.14285714285714285|0.14285714285714285|
('revisión', 'sistemática', ',')|1|1|292|4|5|0.0034129692832764505|0.2|0.16666666666666666|
('electiva', 'colorrectal', ':')|1|1|292|4|5|0.0034129692832764505|0.2|0.16666666666666666|
('mama', 'en', 'diferentes')|1|1|292|5|6|0.0034129692832764505|0.16666666666666666|0.14285714285714285|
('significa', 'la')|1|1|292|7|7|0.0034129692832764505|0.125|0.125|
maxilares|1|1|292|113|18|0.0034129692832764505|0.008771929824561403|0.05263157894736842|
(None, 'seis')|1|1|292|27|16|0.0034129692832764505|0.03571428571428571|0.058823529411764705|
('al', 'cepillo', 'de')|1|1|292|2|3|0.0034129692832764505|0.3333333333333333|0.25|
('evaluar', 'los')|1|1|292|35|17|0.0034129692832764505|0.027777777777777776|0.05555555555555555|
('la', 'diverticulitis')|2|2|291|56|9|0.006825938566552901|0.034482758620689655|0.1|
('del', 'seguro')|1|1|292|321|32|0.0034129692832764505|0.003105590062111801|0.030303030303030304|
('ecografía', 'endoanal')|1|1|292|11|7|0.0034129692832764505|0.08333333333333333|0.125|
(None, None, 'historia')|2|2|291|602|47|0.006825938566552901|0.0033112582781456954|0.020833333333333332|
('condropericóndricas', 'en')|1|1|292|2|3|0.0034129692832764505|0.3333333333333333|0.25|
('en', 'el', 'programa')|1|1|292|206|32|0.0034129692832764505|0.004830917874396135|0.030303030303030304|
('la', 'concentración')|1|1|292|292|39|0.0034129692832764505|0.0034129692832764505|0.025|
(':', 'resultados', 'de')|2|2|291|533|44|0.006825938566552901|0.003738317757009346|0.022222222222222223|
('las', 'lesiones')|2|2|291|1140|46|0.006825938566552901|0.0017513134851138354|0.02127659574468085|
('estado', 'actual')|5|5|288|1506|49|0.017064846416382253|0.0033090668431502318|0.02|
('1995', '.')|1|1|292|131|34|0.0034129692832764505|0.007575757575757576|0.02857142857142857|
hidramnios|1|1|292|5|4|0.0034129692832764505|0.16666666666666666|0.2|
('colo-rectal', 'en')|1|1|292|17|9|0.0034129692832764505|0.05555555555555555|0.1|
('la', 'operación', 'de')|1|1|292|237|27|0.0034129692832764505|0.004201680672268907|0.03571428571428571|
('en', 'los', 'resultados')|2|2|291|177|35|0.006825938566552901|0.0111731843575419|0.027777777777777776|
('en', '144')|1|1|292|7|7|0.0034129692832764505|0.125|0.125|
(None, 'doble', 'engrapado')|1|1|292|7|8|0.0034129692832764505|0.125|0.1111111111111111|
('y', 'valoración')|1|1|292|270|40|0.0034129692832764505|0.0036900369003690036|0.024390243902439025|
('origen', 'inflamatorio', ':')|2|2|291|2|2|0.006825938566552901|0.5|0.3333333333333333|
('ginecología', '.')|2|2|291|244|25|0.006825938566552901|0.008130081300813009|0.038461538461538464|
('autoextracción', 'con', 'y')|1|1|292|2|3|0.0034129692832764505|0.3333333333333333|0.25|
para|22|22|271|27366|51|0.07508532423208192|0.0008032715057689499|0.019230769230769232|
('hendido', '.')|1|1|292|9|7|0.0034129692832764505|0.1|0.125|
('la', 'traumatología', 'y')|1|1|292|3|4|0.0034129692832764505|0.25|0.2|
(None, 'irrigación')|1|1|292|19|8|0.0034129692832764505|0.05|0.1111111111111111|
('coloproctología', 'de')|1|1|292|3|3|0.0034129692832764505|0.25|0.25|
(None, 'terapia')|2|2|291|526|42|0.006825938566552901|0.003787878787878788|0.023255813953488372|
(None, 'pólipos')|1|1|292|202|19|0.0034129692832764505|0.0049261083743842365|0.05|
rectocolitis|2|2|291|28|9|0.006825938566552901|0.06666666666666667|0.1|
('asociación', 'española', 'de')|4|3|290|248|30|0.010238907849829351|0.01195219123505976|0.03225806451612903|
('prospectivo', 'aleatorizado')|1|1|292|63|20|0.0034129692832764505|0.015625|0.047619047619047616|
