,label,treeNum,mainSpecialty,level,direct_query,full_query
67,Cardiac Rehabilitation,H02.403.680.600.250,H02.403.680,2,1000,1000
68,Correction of Hearing Impairment,H02.403.680.600.500,H02.403.680,2,1000,1000
69,Neurological Rehabilitation,H02.403.680.600.750,H02.403.680,2,1000,1000
70,Stroke Rehabilitation,H02.403.680.600.750.500,H02.403.680,3,1000,1000
71,Psychiatric Rehabilitation,H02.403.680.600.875,H02.403.680,2,250,250
72,Telerehabilitation,H02.403.680.600.937,H02.403.680,2,239,239
73,Psychiatry,H02.403.690,H02.403.690,0,1000,1000
74,Adolescent Psychiatry,H02.403.690.080,H02.403.690,1,1000,1000
75,Biological Psychiatry,H02.403.690.100,H02.403.690,1,661,661
76,Child Psychiatry,H02.403.690.130,H02.403.690,1,1000,1000
77,Community Psychiatry,H02.403.690.150,H02.403.690,1,1000,1000
78,Preventive Psychiatry,H02.403.690.150.580,H02.403.690,2,196,196
79,Forensic Psychiatry,H02.403.690.208,H02.403.690,1,1000,1000
80,Geriatric Psychiatry,H02.403.690.260,H02.403.690,1,1000,1000
81,Military Psychiatry,H02.403.690.508,H02.403.690,1,1000,1000
82,Neuropsychiatry,H02.403.690.754,H02.403.690,1,469,469
83,Public Health,H02.403.720,H02.403.720,0,1000,1000
84,Epidemiology,H02.403.720.500,H02.403.720,1,1000,1000
85,Molecular Epidemiology,H02.403.720.500.300,H02.403.720,2,1000,1000
86,Pharmacoepidemiology,H02.403.720.500.650,H02.403.720,2,1000,1000
87,Preventive Medicine,H02.403.720.750,H02.403.720,1,1000,1000
88,Environmental Medicine,H02.403.720.750.250,H02.403.720,2,313,313
89,Occupational Medicine,H02.403.720.750.510,H02.403.720,2,1000,1000
90,Preventive Psychiatry,H02.403.720.750.550,H02.403.720,2,196,196
91,Radiology,H02.403.740,H02.403.740,0,1000,1000
92,Nuclear Medicine,H02.403.740.500,H02.403.740,1,1000,1000
93,Radiation Oncology,H02.403.740.650,H02.403.740,1,1000,1000
94,"Radiology, Interventional",H02.403.740.675,H02.403.740,1,1000,1000
95,Regenerative Medicine,H02.403.750,H02.403.750,0,1000,1000
96,Reproductive Medicine,H02.403.763,H02.403.763,0,1000,1000
97,Andrology,H02.403.763.500,H02.403.763,1,223,223
98,Gynecology,H02.403.763.750,H02.403.763,1,1000,1000
99,Social Medicine,H02.403.800,H02.403.800,0,1000,1000
100,"Specialties, Surgical",H02.403.810,H02.403.810,0,1000,1000
101,Colorectal Surgery,H02.403.810.208,H02.403.810,1,1000,1000
102,General Surgery,H02.403.810.300,H02.403.810,1,1000,1000
103,Gynecology,H02.403.810.310,H02.403.810,1,1000,1000
104,Neurosurgery,H02.403.810.425,H02.403.810,1,1000,1000
105,Obstetrics,H02.403.810.450,H02.403.810,1,1000,1000
106,Ophthalmology,H02.403.810.468,H02.403.810,1,1000,1000
107,Orthognathic Surgery,H02.403.810.481,H02.403.810,1,1000,1000
108,Orthopedics,H02.403.810.494,H02.403.810,1,1000,1000
109,Otolaryngology,H02.403.810.526,H02.403.810,1,1000,1000
110,Neurotology,H02.403.810.526.500,H02.403.810,2,63,63
111,"Surgery, Plastic",H02.403.810.788,H02.403.810,1,1000,1000
112,Surgical Oncology,H02.403.810.796,H02.403.810,1,239,239
113,Thoracic Surgery,H02.403.810.803,H02.403.810,1,1000,1000
114,Traumatology,H02.403.810.850,H02.403.810,1,1000,1000
115,Urology,H02.403.810.860,H02.403.810,1,1000,1000
116,Sports Medicine,H02.403.830,H02.403.830,0,1000,1000
117,Sports Nutritional Sciences,H02.403.830.500,H02.403.830,1,44,44
118,Veterinary Sports Medicine,H02.403.830.750,H02.403.830,1,3,3
119,Telemedicine,H02.403.840,H02.403.840,0,1000,1000
120,Telepathology,H02.403.840.600,H02.403.840,1,723,723
121,Teleradiology,H02.403.840.700,H02.403.840,1,1000,1000
122,Telerehabilitation,H02.403.840.850,H02.403.840,1,239,239
123,Theranostic Nanomedicine,H02.403.845,H02.403.845,0,1000,1000
124,Travel Medicine,H02.403.850,H02.403.850,0,542,542
125,Tropical Medicine,H02.403.879,H02.403.879,0,1000,1000
126,Vaccinology,H02.403.894,H02.403.894,0,17,17
127,Venereology,H02.403.909,H02.403.909,0,406,406
128,Wilderness Medicine,H02.403.959,H02.403.959,0,263,263
