,label,treeNum,mainSpecialty,level,direct_query,full_query
48,Submarine Medicine,H02.403.560.508,H02.403.560,1,3,3
49,Neurology,H02.403.600,H02.403.600,0,820,820
50,Neuropathology,H02.403.600.250,H02.403.600,1,0,0
51,Neurotology,H02.403.600.500,H02.403.600,1,7,7
52,Osteopathic Medicine,H02.403.640,H02.403.640,0,10,10
53,Palliative Medicine,H02.403.645,H02.403.645,0,1,1
54,Pathology,H02.403.650,H02.403.650,0,1000,1000
55,Forensic Pathology,H02.403.650.249,H02.403.650,1,5,5
56,Neuropathology,H02.403.650.375,H02.403.650,1,0,0
57,"Pathology, Clinical",H02.403.650.500,H02.403.650,1,64,64
58,"Pathology, Molecular",H02.403.650.505,H02.403.650,1,3,3
59,"Pathology, Surgical",H02.403.650.510,H02.403.650,1,2,2
60,Telepathology,H02.403.650.600,H02.403.650,1,0,0
61,Pediatrics,H02.403.670,H02.403.670,0,1000,1000
62,Neonatology,H02.403.670.400,H02.403.670,1,67,67
63,Pediatric Emergency Medicine,H02.403.670.450,H02.403.670,1,2,2
64,Perinatology,H02.403.670.500,H02.403.670,1,49,49
65,Physical and Rehabilitation Medicine,H02.403.680,H02.403.680,0,314,1000
66,Rehabilitation,H02.403.680.600,H02.403.680,1,1000,1000
67,Cardiac Rehabilitation,H02.403.680.600.250,H02.403.680,2,29,29
68,Correction of Hearing Impairment,H02.403.680.600.500,H02.403.680,2,14,14
69,Neurological Rehabilitation,H02.403.680.600.750,H02.403.680,2,74,74
70,Stroke Rehabilitation,H02.403.680.600.750.500,H02.403.680,3,67,67
71,Psychiatric Rehabilitation,H02.403.680.600.875,H02.403.680,2,6,6
72,Telerehabilitation,H02.403.680.600.937,H02.403.680,2,1,1
73,Psychiatry,H02.403.690,H02.403.690,0,1000,1000
74,Adolescent Psychiatry,H02.403.690.080,H02.403.690,1,14,14
75,Biological Psychiatry,H02.403.690.100,H02.403.690,1,10,10
76,Child Psychiatry,H02.403.690.130,H02.403.690,1,53,53
77,Community Psychiatry,H02.403.690.150,H02.403.690,1,34,34
78,Preventive Psychiatry,H02.403.690.150.580,H02.403.690,2,4,4
79,Forensic Psychiatry,H02.403.690.208,H02.403.690,1,205,205
80,Geriatric Psychiatry,H02.403.690.260,H02.403.690,1,15,15
81,Military Psychiatry,H02.403.690.508,H02.403.690,1,3,3
82,Neuropsychiatry,H02.403.690.754,H02.403.690,1,15,15
83,Public Health,H02.403.720,H02.403.720,0,1000,1000
84,Epidemiology,H02.403.720.500,H02.403.720,1,582,600
85,Molecular Epidemiology,H02.403.720.500.300,H02.403.720,2,53,53
86,Pharmacoepidemiology,H02.403.720.500.650,H02.403.720,2,23,23
87,Preventive Medicine,H02.403.720.750,H02.403.720,1,568,568
88,Environmental Medicine,H02.403.720.750.250,H02.403.720,2,1,1
89,Occupational Medicine,H02.403.720.750.510,H02.403.720,2,226,226
90,Preventive Psychiatry,H02.403.720.750.550,H02.403.720,2,4,4
91,Radiology,H02.403.740,H02.403.740,0,1000,1000
92,Nuclear Medicine,H02.403.740.500,H02.403.740,1,1000,1000
93,Radiation Oncology,H02.403.740.650,H02.403.740,1,9,9
94,"Radiology, Interventional",H02.403.740.675,H02.403.740,1,55,55
95,Regenerative Medicine,H02.403.750,H02.403.750,0,21,21
96,Reproductive Medicine,H02.403.763,H02.403.763,0,725,725
97,Andrology,H02.403.763.500,H02.403.763,1,1,1
98,Gynecology,H02.403.763.750,H02.403.763,1,663,663
99,Social Medicine,H02.403.800,H02.403.800,0,146,146
100,"Specialties, Surgical",H02.403.810,H02.403.810,0,1000,1000
101,Colorectal Surgery,H02.403.810.208,H02.403.810,1,90,90
102,General Surgery,H02.403.810.300,H02.403.810,1,731,731
103,Gynecology,H02.403.810.310,H02.403.810,1,663,663
104,Neurosurgery,H02.403.810.425,H02.403.810,1,1000,1000
105,Obstetrics,H02.403.810.450,H02.403.810,1,669,669
106,Ophthalmology,H02.403.810.468,H02.403.810,1,456,456
107,Orthognathic Surgery,H02.403.810.481,H02.403.810,1,27,27
108,Orthopedics,H02.403.810.494,H02.403.810,1,234,234
109,Otolaryngology,H02.403.810.526,H02.403.810,1,243,243
110,Neurotology,H02.403.810.526.500,H02.403.810,2,7,7
111,"Surgery, Plastic",H02.403.810.788,H02.403.810,1,322,322
112,Surgical Oncology,H02.403.810.796,H02.403.810,1,1,1
113,Thoracic Surgery,H02.403.810.803,H02.403.810,1,1000,1000
114,Traumatology,H02.403.810.850,H02.403.810,1,78,78
115,Urology,H02.403.810.860,H02.403.810,1,545,545
116,Sports Medicine,H02.403.830,H02.403.830,0,50,50
117,Sports Nutritional Sciences,H02.403.830.500,H02.403.830,1,0,0
118,Veterinary Sports Medicine,H02.403.830.750,H02.403.830,1,0,0
119,Telemedicine,H02.403.840,H02.403.840,0,207,207
120,Telepathology,H02.403.840.600,H02.403.840,1,0,0
121,Teleradiology,H02.403.840.700,H02.403.840,1,8,8
122,Telerehabilitation,H02.403.840.850,H02.403.840,1,1,1
123,Theranostic Nanomedicine,H02.403.845,H02.403.845,0,0,0
124,Travel Medicine,H02.403.850,H02.403.850,0,2,2
125,Tropical Medicine,H02.403.879,H02.403.879,0,156,156
126,Vaccinology,H02.403.894,H02.403.894,0,0,0
127,Venereology,H02.403.909,H02.403.909,0,24,24
128,Wilderness Medicine,H02.403.959,H02.403.959,0,0,0
